date,temperature,windSpeed,precipitation
1995-01-01,0.18570337,3.1527884,4.090158
1995-01-02,2.0939317,0.9828832,1.4293551
1995-01-03,0.2420773,2.4293902,4.2027707
1995-01-04,1.7349532,0.60643005,11.869286
1995-01-05,-3.5448823,0.25580987,4.9604535
1995-01-06,-0.34709993,2.4342515,8.062354
1995-01-07,-1.3685224,1.0218873,2.278027
1995-01-08,-0.22004783,2.744087,9.38669
1995-01-09,-1.7236974,3.5962048,10.195053
1995-01-10,0.70283943,3.3382201,1.179913
1995-01-11,3.7000782,0.71379673,2.8551135
1995-01-12,1.2256093,1.0975298,12.003384
1995-01-13,2.5513625,0.89321434,1.5593917
1995-01-14,3.5622118,0.4400546,0.75876576
1995-01-15,0.88183874,12.225713,0.04261923
1995-01-16,-0.0033509252,1.8378644,1.6842667
1995-01-17,1.2816925,0.52051234,3.5619576
1995-01-18,-4.819711,4.894628,2.7571654
1995-01-19,3.0713167,0.071429916,6.8556557
1995-01-20,-0.2749739,1.1380327,0.8437773
1995-01-21,-0.20622021,0.15228832,0.9259874
1995-01-22,1.7665212,4.724612,0.119327754
1995-01-23,-2.5475287,1.2089604,11.3997345
1995-01-24,2.2344506,3.3355355,10.1836405
1995-01-25,-1.3175428,0.45860627,7.7802105
1995-01-26,-0.14922176,1.4128091,5.2921977
1995-01-27,0.44679376,0.116232865,0.61365926
1995-01-28,2.0287156,2.1224704,3.3828974
1995-01-29,3.4507127,1.3452983,5.598496
1995-01-30,4.033219,8.785057,0.20256408
1995-01-31,4.0550365,1.474871,6.588409
1995-02-01,2.8318317,1.6121489,3.162277
1995-02-02,3.308819,1.1150706,11.755284
1995-02-03,1.368391,0.44278634,1.9572802
1995-02-04,5.1933002,1.5862938,4.5284595
1995-02-05,0.99171865,2.0433958,5.6023583
1995-02-06,2.500921,1.7945174,0.7702389
1995-02-07,89.08566,99.68277,58.57258
1995-02-08,0.37252086,0.22637258,0.7395958
1995-02-09,3.687164,0.5512458,0.714773
1995-02-10,1.9675473,0.52967304,2.5779257
1995-02-11,5.2681813,4.9765177,0.37426803
1995-02-12,2.839199,2.023403,10.163235
1995-02-13,4.4850206,1.5981555,9.5157995
1995-02-14,4.1109476,5.516552,6.02335
1995-02-15,3.1909573,0.42693743,12.586525
1995-02-16,4.8305335,0.41001302,9.425147
1995-02-17,3.980204,0.17824318,3.2770157
1995-02-18,3.8437586,1.120819,1.9899597
1995-02-19,3.0754676,0.8327975,4.4275327
1995-02-20,7.816785,1.0862895,0.60542023
1995-02-21,1.9191124,2.8388002,2.2853012
1995-02-22,6.0402665,2.0173047,2.5719123
1995-02-23,5.958412,1.7414205,2.4046073
1995-02-24,2.6329207,0.07912238,2.6943784
1995-02-25,4.8663077,3.1104584,4.238345
1995-02-26,3.2256527,0.55978805,0.81296265
1995-02-27,8.063315,1.7083353,1.144163
1995-02-28,2.0382006,2.013892,4.981682
1995-03-01,53.56333,53.08628,45.288795
1995-03-02,7.0749397,3.983153,7.284272
1995-03-03,4.442557,1.0171857,5.5061603
1995-03-04,7.470216,1.2003114,1.4062726
1995-03-05,4.472365,0.96962214,1.6150569
1995-03-06,3.9236438,2.072484,1.1458709
1995-03-07,6.1254244,2.3473349,3.4418366
1995-03-08,6.0646996,2.1126628,12.987702
1995-03-09,9.876514,5.6146445,2.2645695
1995-03-10,5.7440867,1.0511264,8.648205
1995-03-11,6.7189403,3.6691551,3.289954
1995-03-12,7.820985,1.3952422,0.9524162
1995-03-13,5.299323,3.565106,3.0576832
1995-03-14,6.7071505,0.5218742,0.9010847
1995-03-15,8.785259,0.14440636,10.86099
1995-03-16,8.514348,0.5474754,0.53407085
1995-03-17,8.20102,3.2976127,4.0235276
1995-03-18,9.073431,15.735534,7.0383234
1995-03-19,9.888192,0.60423625,6.3843064
1995-03-20,6.6443744,1.021674,0.29802087
1995-03-21,10.768112,1.3982888,0.16807821
1995-03-22,7.4224424,2.4046426,4.777229
1995-03-23,9.741883,2.8906996,9.0606365
1995-03-24,4.807762,3.1887836,5.3547244
1995-03-25,10.27452,3.0402758,4.3966894
1995-03-26,202.21083,18.246145,56.537422
1995-03-27,10.345331,2.6552007,1.1375041
1995-03-28,228.86954,13.839224,36.67136
